latitude,longitude,n_records,n_locations
34.258335,126.90833,7,7
34.258335,126.99167,7,7
34.333332,126.95,7,7
34.3375,127.145836,7,7
34.345833,126.9125,7,7
34.345833,127.145836,7,7
34.35,126.8875,7,7
34.3625,127.175,7,7
34.3625,127.1875,7,7
34.395832,127.0375,7,7
34.395832,127.041664,7,7
34.420834,126.95417,7,7
34.420834,127.15,7,7
34.420834,127.15833,7,7
34.420834,127.166664,7,7
34.420834,127.175,7,7
34.420834,127.183334,7,7
34.420834,127.191666,7,7
34.420834,127.2,7,7
34.425,126.95,7,7
34.425,127.15,7,7
34.429165,127.0875,7,7
34.429165,127.09583,7,7
34.429165,127.104164,7,7
34.429165,127.1125,7,7
34.433334,127.09167,7,7
34.433334,127.1,7,7
34.433334,127.10833,7,7
34.4375,126.975,7,7
34.4375,127.4,7,7
34.441666,126.979164,7,7
34.445835,126.98333,7,7
34.445835,127.40417,7,7
34.45,126.9875,7,7
34.454166,127.40833,7,7
34.470833,126.99167,7,7
34.475,126.995834,7,7
34.475,127.49167,7,7
34.479168,126.995834,7,7
34.479168,127.504166,7,7
34.483334,126.995834,7,7
34.4875,127.0,7,7
34.4875,127.50833,7,7
34.491665,127.0,7,7
34.5125,126.995834,7,7
34.516666,126.995834,7,7
34.520832,127.0,7,7
34.525,127.0,7,7
34.525,127.6375,7,7
34.529167,127.004166,7,7
34.529167,127.6375,7,7
34.533333,127.004166,7,7
34.5375,127.00833,7,7
34.541668,127.620834,7,7
34.545834,127.620834,7,7
